Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Year,City,State
60712,12637,47.5,93226,39571,673,5.325631083,2017,Chicago,IL 
60714,29911,47.6,58298,29595,2836,9.48146167,2017,Chicago,IL 
60803,22362,36.4,51439,24829,2122,9.489312226,2017,Chicago,IL 
60804,83735,29.3,44110,16055,16415,19.60351108,2017,Chicago,IL 
60805,19796,40.3,67482,31431,1387,7.006465953,2017,Chicago,IL 
60827,28856,32.7,31008,18231,9878,34.23204879,2017,Chicago,IL 
75201,15185,31,90781,83757,2053,13.51992097,2017,Dallas,TX
75202,2029,30.9,87375,73237,313,15.42631838,2017,Dallas,TX
75203,16351,32.3,32699,18696,4998,30.5669378,2017,Dallas,TX
75204,30370,30.2,71766,56056,5843,19.23938097,2017,Dallas,TX
75205,24211,34.4,129406,98860,1097,4.530998307,2017,Dallas,TX
75206,38762,31.2,63392,49708,5467,14.1040194,2017,Dallas,TX
75207,8028,32.1,79926,29326,150,1.868460389,2017,Dallas,TX
75208,29448,34.1,55855,29794,4947,16.7991035,2017,Dallas,TX
75209,13898,40.2,86963,76092,950,6.835515902,2017,Dallas,TX
75210,8243,30.4,25793,11578,3540,42.94552954,2017,Dallas,TX
75211,77600,28.4,38760,14994,19107,24.62242268,2017,Dallas,TX
75212,26120,28.1,30673,12626,8414,32.21286371,2017,Dallas,TX
75214,34145,37.5,84709,63252,3197,9.36301069,2017,Dallas,TX
75215,15664,39.5,27358,17301,5344,34.11644535,2017,Dallas,TX
75216,52895,34.2,25763,13027,19585,37.02618395,2017,Dallas,TX
75217,85249,28.6,35282,12792,26496,31.08071649,2017,Dallas,TX
75218,22264,42.4,70272,49381,2123,9.535573123,2017,Dallas,TX
75219,23277,37.8,67311,70879,2645,11.36314817,2017,Dallas,TX
75220,42642,30.7,43001,28304,9353,21.93377421,2017,Dallas,TX
75223,14351,33.2,41667,21344,3909,27.23851996,2017,Dallas,TX
75224,36468,26.8,37225,16425,10031,27.5063069,2017,Dallas,TX
75225,21568,45.7,173828,117586,572,2.652077151,2017,Dallas,TX
75226,4790,34.3,52587,28235,1790,37.36951983,2017,Dallas,TX
75227,57806,28.4,41240,15485,14625,25.30014185,2017,Dallas,TX
75228,74605,31,40306,19520,16217,21.73714898,2017,Dallas,TX
75229,32390,38.2,88062,52422,3607,11.13615313,2017,Dallas,TX
75230,27521,46.2,78837,78243,1767,6.420551579,2017,Dallas,TX
75231,40464,31,37189,25734,11542,28.52412021,2017,Dallas,TX
75232,30714,36.4,33296,17939,9793,31.88448265,2017,Dallas,TX
75233,16318,32.2,45468,17980,4102,25.13788454,2017,Dallas,TX
75234,32589,38.6,61680,30497,3574,10.96689067,2017,Dallas,TX
75235,18794,33.9,48449,23671,4188,22.28370757,2017,Dallas,TX
75236,18542,28.1,40685,18838,4156,22.41397907,2017,Dallas,TX
75237,20295,27.2,26768,13956,6697,32.99827544,2017,Dallas,TX
75238,33009,33.4,58908,36044,5252,15.9108122,2017,Dallas,TX
